Goodyera rubicunda (Blume) Lindl.	ORCHIDACEAE(蘭科)\n毛苞斑葉蘭\n長苞斑葉蘭 
Psilotum nudum (L.) Beauv.	PSILOTACEAE\n松葉蕨\nAerial stems green, erect or pendent, 10-50 cm long, angular; leaves awl-shaped, 1-2 mm long. Widely distributed in tropics and subtropics. Terrestrial or more often epiphytic; small plants usuall erect; large plants pendent.\n\nTAIPEI: Tatungshan, Kuo 2334*. IISINCHU: Manabashan, Do 725. NANTOU: Chingshuikou, Huang 1940.\nPINGTUNG: Nanjenshan, Kao 73440. TAITUNG: Tawu, Chuang 3461; Is. Lanyu, Huang & Kao 5458.\nHUALIEN: Chingshuishan, Nakamura 3578. 
Lycopodium annotinum L.	LYCOPODIACEAE\n杉葉蔓石松 
Lycopodium carinatum Desv.	LYCOPODIACEAE\n覆葉石松 
Lycopodium casuarinoides Spring	LYCOPODIACEAE\n木賊葉石松 
Lycopodium cernuum L.	LYCOPODIACEAE\n過山龍 
Lycopodium clavatum L.	LYCOPODIACEAE\n石松 
Lycopodium complanatum L.	LYCOPODIACEAE\n地刷子 
Lycopodium cryptomerianum Maxim.	LYCOPODIACEAE\n柳杉葉蔓石松 
Lycopodium cunninghamioides Hayata	LYCOPODIACEAE\n寬葉石松 
Lycopodium fargesii Hert.	LYCOPODIACEAE\n銳葉石松 
Lycopodium fordii Bak.	LYCOPODIACEAE\n福氏石松 
Lycopodium obscurum L.	LYCOPODIACEAE\n玉柏 
Lycopodium phlegmaria L.	LYCOPODIACEAE\n垂枝石松 
Lycopodium quasipolytrichoides Hayata	LYCOPODIACEAE\n反捲葉石松 
Lycopodium salvinioides (Hert.) Tagawa	LYCOPODIACEAE\n小垂枝石松 
Lycopodium selago L. var. appressum Desv.	LYCOPODIACEAE\n小杉葉石松 
Lycopodium serratum Thunb.	LYCOPODIACEAE\n千層塔 
Lycopodium serratum Thunb. var. longipetiolatum Spring	LYCOPODIACEAE\n長柄千層塔
Lycopodium sieboldii Miq.	LYCOPODIACEAE\n鱗葉石松
Lycopodium somae Hayata	LYCOPODIACEAE\n相馬氏石松 
Lycopodium squarrosum Forst.	LYCOPODIACEAE\n杉葉石松 
Lycopodium taiwanense Kuo	LYCOPODIACEAE\n台灣石松\n綠葉蔓石松 
Lycopodium veitchii Christ	LYCOPODIACEAE\n玉山石松 
Lycopodium yueshanense Kuo	LYCOPODIACEAE\n玉山地刷子 
Selaginella boninensis Bak.	SELAGINELLACEAE\n小笠原卷柏 
Selaginella ciliaris (Retz.) Spring	SELAGINELLACEAE\n緣毛卷柏 
Selaginella delicatula (Desv.) Alston	SELAGINELLACEAE\n全緣卷柏 
Selaginella doederleinii Hieron.	SELAGINELLACEAE\n生根卷柏 
Selaginella heterostachys Bak.	SELAGINELLACEAE\n姬卷柏 
